,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格,卧室数,客厅数,卫生间数,楼层位置,总层数,得房率,是否有抵押,抵押金额,是否地铁,临近地铁站,是否电梯,产权类型
46,绿城巧园,滨江区,浦沿,近地铁4号线杨家墩站,335,38013,2024-12-19,商品房,2016-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室1厅1厨1卫,高楼层(共18层),88.13,平层,69.42,板楼,南,钢混结构,其他,两梯两户,有,nan,nan,nan,nan,2,1,1,3,18,0.7876999886531261,0,0.0,1,杨家墩站,1.0,0
47,盛庐小区,滨江区,长河,近地铁6号线(杭富线)建业路站,470,47123,2024-05-20,商品房,2021-07-14,普通住宅,满两年,共有,无抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共18层),99.74,平层,69.42,板楼,南北,钢混结构,精装,两梯两户,有,nan,nan,nan,nan,2,2,1,3,18,0.6960096250250652,0,0.0,1,建业路站,1.0,1
48,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,117,26978,2024-04-09,商品房,2017-11-28,商住两用,满五年,共有,有抵押,已上传房本照片,2室2厅1厨2卫,中楼层(共19层),43.37,nan,69.42,板楼,南,钢混结构,精装,两梯三十一户,有,nan,民水,民电,3.1元/m3,2,2,2,2,19,1.6006456075628315,1,0.0,0,0,1.0,1
49,瑞立东方花城,滨江区,西兴,近地铁5号线滨康路站,310,35735,2021-10-29,商品房,2016-03-31,普通住宅,满五年,共有,无抵押,已上传房本照片,2室1厅1厨1卫,低楼层(共24层),86.75,平层,65.34,板塔结合,南,混合结构,简装,两梯三户,有,nan,nan,nan,nan,2,1,1,1,24,0.7531988472622478,0,0.0,1,滨康路站,1.0,1
50,银杏汇,滨江区,彩虹城,近地铁4号线联庄站,298,43973,2022-03-18,商品房,2022-03-18,商住两用,满两年,非共有,无抵押,已上传房本照片,1室2厅1厨1卫,中楼层(共20层),67.77,平层,69.42,板楼,东东南,钢混结构,精装,两梯十六户,有,nan,未知,未知,3.1元/m3,1,2,1,2,20,1.0243470562195662,0,0.0,1,联庄站,1.0,0
51,金盛曼城,滨江区,浦沿,近地铁4号线浦沿站,255,29818,2025-02-24,商品房,2014-10-14,普通住宅,满五年,共有,有抵押1万元,已上传房本照片,2室2厅1厨1卫,中楼层(共11层),85.52,平层,68.69,板塔结合,南,钢混结构,精装,两梯两户,有,nan,nan,nan,nan,2,2,1,2,11,0.8032039289055192,1,1.0,1,浦沿站,1.0,1
52,瑞立东方花城,滨江区,西兴,近地铁5号线滨康路站,330,37407,2023-06-22,商品房,2016-05-18,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室2厅1厨1卫,低楼层(共24层),88.22,平层,65.6,板塔结合,南,框架结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,1,1,24,0.7435955565631376,1,0.0,1,滨康路站,1.0,0
53,现代印象广场,滨江区,彩虹城,nan,142,15009,2025-02-21,商品房,2020-06-30,写字楼,满两年,非共有,无抵押,已上传房本照片,2室1厅1厨0卫,中楼层(共28层),94.61,平层,69.42,板楼,南,钢结构,其他,三梯十九户,有,nan,nan,nan,nan,2,1,0,2,28,0.7337490751506184,0,0.0,0,0,1.0,0
54,潮人汇,滨江区,彩虹城,近地铁6号线(杭富线)伟业路站,185,14865,2021-10-28,商品房,2017-10-31,商住两用,满五年,非共有,无抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共21层),124.46,平层,69.42,板楼,南,钢混结构,精装,三梯十八户,有,nan,民水,民电,3.1元/m3,2,2,1,3,21,0.557769564518721,0,0.0,1,伟业路站,1.0,0
55,保亿风景蝶院观园,滨江区,白马湖,nan,249,30263,2025-01-21,商品房,2014-03-06,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共25层),82.28,平层,69.42,板塔结合,南,钢混结构,其他,两梯三户,有,nan,nan,nan,nan,2,2,1,3,25,0.8437044239183277,1,0.0,0,0,1.0,1
